"Simulation_ID","Scenario","Model_Name","RMSE","NRMSE","MAPE","R_Squared","CPU_Time_sec"
5,"Front-Heavy (60:15:15)","aLadder",10.64854683202,0.114332109271375,18.432159121715,0.839431678194864,9.36999999999989
5,"Front-Heavy (60:15:15)","mLadder-Ordinal",11.2759199357021,0.121068135451812,10.6646658647747,0.819954137816221,7.94999999999982
5,"Front-Heavy (60:15:15)","mLadder-Nominal",10.0539459453819,0.107947954267281,8.36644937060971,0.85686288165548,8.07999999999993
5,"Front-Heavy (60:15:15)","SAL-GP",6.53949384176719,0.0702137236461377,5.20485688861366,0.939442568289383,6.88999999999987
5,"Back-Heavy (15:15:60)","aLadder",5.61786145152296,0.0603182724816098,7.3519259031833,0.955308881239927,11.4400000000001
5,"Back-Heavy (15:15:60)","mLadder-Ordinal",11.952544433716,0.12833296766441,12.9169961135544,0.797698123330047,8.30999999999995
5,"Back-Heavy (15:15:60)","mLadder-Nominal",11.5344945824553,0.123844418942297,13.2696193373897,0.811601987624867,8.05999999999995
5,"Back-Heavy (15:15:60)","SAL-GP",5.6520499951417,0.0606853505784158,8.09469676256304,0.95476327380181,13.0500000000002
6,"Balanced (30:30:30)","aLadder",4.81355808574594,0.0563210515169803,7.51731613169701,0.968458845654849,9.92999999999984
6,"Balanced (30:30:30)","mLadder-Ordinal",12.0055269217712,0.140470705495763,15.3456596255935,0.803796115312802,8.40000000000009
6,"Balanced (30:30:30)","mLadder-Nominal",10.0981471903751,0.118153402951412,13.0160856926773,0.861187510436816,7.97000000000025
6,"Balanced (30:30:30)","SAL-GP",4.94052298476957,0.0578066047172072,7.93746568302819,0.966773010203373,9
6,"Front-Heavy (60:15:15)","aLadder",6.44042695238104,0.0753562358062185,7.37231980075005,0.943535632517698,8.77999999999975
6,"Front-Heavy (60:15:15)","mLadder-Ordinal",8.63112320791488,0.100988484232043,7.46372639429543,0.898590233631815,7.67000000000007
6,"Front-Heavy (60:15:15)","mLadder-Nominal",8.22878766094908,0.0962809558997531,7.24843833722207,0.907824211495863,7.57999999999993
6,"Front-Heavy (60:15:15)","SAL-GP",5.06260128369122,0.0592349822375765,4.96750120914455,0.96511067239353,6.76000000000022
6,"Back-Heavy (15:15:60)","aLadder",6.25316479661626,0.0731651743639061,8.23991539347394,0.94677141779766,11.1600000000003
6,"Back-Heavy (15:15:60)","mLadder-Ordinal",13.987715547632,0.163663309745013,17.3273104905073,0.733658565907873,7.92000000000007
6,"Back-Heavy (15:15:60)","mLadder-Nominal",13.1403012814046,0.153748136458593,15.8436103482893,0.764952413790842,7.67999999999984
6,"Back-Heavy (15:15:60)","SAL-GP",6.72484907470997,0.0786841177428035,9.08549429718752,0.938438352504163,12.9699999999998
7,"Balanced (30:30:30)","aLadder",5.01046496457446,0.0559959106840678,7.06740062193822,0.964108391113995,9.9699999999998
7,"Balanced (30:30:30)","mLadder-Ordinal",7.04617849476233,0.0787466202131644,9.53372084415765,0.929018667425805,8.11000000000013
7,"Balanced (30:30:30)","mLadder-Nominal",7.71374759723183,0.0862072331705688,10.0648716063053,0.914931707545194,7.37000000000035
7,"Balanced (30:30:30)","SAL-GP",5.89535889033329,0.0658853005075678,8.08735490011912,0.950311330888483,8.91000000000031
7,"Front-Heavy (60:15:15)","aLadder",20.7305380275192,0.231680166217913,40.6194763644788,0.385590369376074,8.67999999999984
7,"Front-Heavy (60:15:15)","mLadder-Ordinal",9.36329031553961,0.104642178305798,9.48173817101511,0.874658800773622,7.34000000000015
7,"Front-Heavy (60:15:15)","mLadder-Nominal",10.4117232210946,0.116359245634435,10.7026615459302,0.845017701927019,7.5300000000002
